	items	support	ordered_statistics
68	frozenset({'cake', 'frozen vegetables', 'tomatoes', 'nan'})	0.0030662578322890282	[OrderedStatistic(items_base=frozenset({'cake', 'frozen vegetables', 'nan'}), items_add=frozenset({'tomatoes'}), confidence=0.2987012987012987, lift=4.367560314928736), OrderedStatistic(items_base=frozenset({'cake', 'tomatoes', 'nan'}), items_add=frozenset({'frozen vegetables'}), confidence=0.36507936507936506, lift=3.8300144300144296)]
69	frozenset({'cereals', 'spaghetti', 'ground beef', 'nan'})	0.0030662578322890282	[OrderedStatistic(items_base=frozenset({'cereals', 'ground beef', 'nan'}), items_add=frozenset({'spaghetti'}), confidence=0.6764705882352942, lift=3.8853031258445188), OrderedStatistic(items_base=frozenset({'cereals', 'spaghetti', 'nan'}), items_add=frozenset({'ground beef'}), confidence=0.45999999999999996, lift=4.681763907734057)]
70	frozenset({'nan', 'milk', 'ground beef', 'chicken'})	0.0038661511798426876	[OrderedStatistic(items_base=frozenset({'nan', 'ground beef', 'chicken'}), items_add=frozenset({'milk'}), confidence=0.40845070422535207, lift=3.152046020981858)]
71	frozenset({'olive oil', 'milk', 'nan', 'chicken'})	0.0035995200639914677	[OrderedStatistic(items_base=frozenset({'milk', 'nan', 'chicken'}), items_add=frozenset({'olive oil'}), confidence=0.24324324324324323, lift=3.693456614509246), OrderedStatistic(items_base=frozenset({'olive oil', 'nan', 'chicken'}), items_add=frozenset({'milk'}), confidence=0.5, lift=3.858539094650206), OrderedStatistic(items_base=frozenset({'olive oil', 'milk', 'nan'}), items_add=frozenset({'chicken'}), confidence=0.2109375, lift=3.51609375)]
72	frozenset({'olive oil', 'spaghetti', 'nan', 'chicken'})	0.0034662045060658577	[OrderedStatistic(items_base=frozenset({'spaghetti', 'nan', 'chicken'}), items_add=frozenset({'olive oil'}), confidence=0.20155038759689922, lift=3.0603835169318647)]
73	frozenset({'eggs', 'ground beef', 'mineral water', 'chocolate'})	0.003999466737768298	[OrderedStatistic(items_base=frozenset({'eggs', 'mineral water', 'chocolate'}), items_add=frozenset({'ground beef'}), confidence=0.29702970297029707, lift=3.023093354111531)]
74	frozenset({'mineral water', 'ground beef', 'frozen vegetables', 'chocolate'})	0.003332888948140248	[OrderedStatistic(items_base=frozenset({'mineral water', 'frozen vegetables', 'chocolate'}), items_add=frozenset({'ground beef'}), confidence=0.34246575342465757, lift=3.4855300087358976), OrderedStatistic(items_base=frozenset({'mineral water', 'ground beef', 'chocolate'}), items_add=frozenset({'frozen vegetables'}), confidence=0.30487804878048785, lift=3.1984478935698455)]
75	frozenset({'ground beef', 'frozen vegetables', 'chocolate', 'spaghetti'})	0.0030662578322890282	[OrderedStatistic(items_base=frozenset({'ground beef', 'frozen vegetables', 'chocolate'}), items_add=frozenset({'spaghetti'}), confidence=0.5348837209302326, lift=3.0721001460165964), OrderedStatistic(items_base=frozenset({'frozen vegetables', 'chocolate', 'spaghetti'}), items_add=frozenset({'ground beef'}), confidence=0.3898305084745763, lift=3.967596531978015), OrderedStatistic(items_base=frozenset({'ground beef', 'spaghetti', 'chocolate'}), items_add=frozenset({'frozen vegetables'}), confidence=0.33333333333333337, lift=3.4969696969696975)]
76	frozenset({'mineral water', 'frozen vegetables', 'chocolate', 'milk'})	0.003999466737768298	[OrderedStatistic(items_base=frozenset({'mineral water', 'frozen vegetables', 'chocolate'}), items_add=frozenset({'milk'}), confidence=0.4109589041095891, lift=3.1714019956029094)]
77	frozenset({'spaghetti', 'frozen vegetables', 'chocolate', 'milk'})	0.0034662045060658577	[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'chocolate', 'spaghetti'}), items_add=frozenset({'milk'}), confidence=0.44067796610169485, lift=3.4007463207086555), OrderedStatistic(items_base=frozenset({'milk', 'chocolate', 'spaghetti'}), items_add=frozenset({'frozen vegetables'}), confidence=0.3170731707317073, lift=3.3263858093126384)]
78	frozenset({'mineral water', 'frozen vegetables', 'chocolate', 'shrimp'})	0.003199573390214638	[OrderedStatistic(items_base=frozenset({'mineral water', 'frozen vegetables', 'chocolate'}), items_add=frozenset({'shrimp'}), confidence=0.32876712328767127, lift=4.600899611531385), OrderedStatistic(items_base=frozenset({'mineral water', 'chocolate', 'shrimp'}), items_add=frozenset({'frozen vegetables'}), confidence=0.4210526315789474, lift=4.417224880382776)]
79	frozenset({'shrimp', 'frozen vegetables', 'chocolate', 'nan'})	0.005332622317024397	[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'chocolate', 'nan'}), items_add=frozenset({'shrimp'}), confidence=0.23255813953488375, lift=3.2545123221103784), OrderedStatistic(items_base=frozenset({'shrimp', 'chocolate', 'nan'}), items_add=frozenset({'frozen vegetables'}), confidence=0.29629629629629634, lift=3.1084175084175087)]
80	frozenset({'ground beef', 'herb & pepper', 'chocolate', 'nan'})	0.003999466737768298	[OrderedStatistic(items_base=frozenset({'herb & pepper', 'chocolate', 'nan'}), items_add=frozenset({'ground beef'}), confidence=0.4411764705882354, lift=4.4901827759597746)]
81	frozenset({'soup', 'milk', 'chocolate', 'nan'})	0.003999466737768298	[OrderedStatistic(items_base=frozenset({'soup', 'chocolate', 'nan'}), items_add=frozenset({'milk'}), confidence=0.3947368421052632, lift=3.0462150747238472)]
82	frozenset({'mineral water', 'olive oil', 'spaghetti', 'chocolate'})	0.0038661511798426876	[OrderedStatistic(items_base=frozenset({'mineral water', 'spaghetti', 'chocolate'}), items_add=frozenset({'olive oil'}), confidence=0.2436974789915966, lift=3.700353825740822)]
83	frozenset({'mineral water', 'spaghetti', 'chocolate', 'shrimp'})	0.0034662045060658577	[OrderedStatistic(items_base=frozenset({'mineral water', 'spaghetti', 'chocolate'}), items_add=frozenset({'shrimp'}), confidence=0.21848739495798317, lift=3.0576006522011783)]
84	frozenset({'spaghetti', 'cooking oil', 'ground beef', 'nan'})	0.004799360085321957	[OrderedStatistic(items_base=frozenset({'cooking oil', 'ground beef', 'nan'}), items_add=frozenset({'spaghetti'}), confidence=0.5714285714285714, lift=3.2819951870487856), OrderedStatistic(items_base=frozenset({'spaghetti', 'cooking oil', 'nan'}), items_add=frozenset({'ground beef'}), confidence=0.3025210084033613, lift=3.0789824749438446)]
85	frozenset({'eggs', 'mineral water', 'frozen vegetables', 'milk'})	0.0037328356219170776	[OrderedStatistic(items_base=frozenset({'eggs', 'mineral water', 'frozen vegetables'}), items_add=frozenset({'milk'}), confidence=0.411764705882353, lift=3.177620430888405)]
86	frozenset({'eggs', 'herb & pepper', 'ground beef', 'nan'})	0.0041327822956939075	[OrderedStatistic(items_base=frozenset({'eggs', 'ground beef', 'nan'}), items_add=frozenset({'herb & pepper'}), confidence=0.2066666666666667, lift=4.178454627133872), OrderedStatistic(items_base=frozenset({'eggs', 'herb & pepper', 'nan'}), items_add=frozenset({'ground beef'}), confidence=0.3297872340425532, lift=3.3564912381997174)]
87	frozenset({'eggs', 'red wine', 'spaghetti', 'nan'})	0.0037328356219170776	[OrderedStatistic(items_base=frozenset({'eggs', 'red wine', 'nan'}), items_add=frozenset({'spaghetti'}), confidence=0.5283018867924528, lift=3.0342974370828397)]
88	frozenset({'french fries', 'herb & pepper', 'ground beef', 'nan'})	0.003199573390214638	[OrderedStatistic(items_base=frozenset({'french fries', 'ground beef', 'nan'}), items_add=frozenset({'herb & pepper'}), confidence=0.23076923076923078, lift=4.665768194070081), OrderedStatistic(items_base=frozenset({'french fries', 'herb & pepper', 'nan'}), items_add=frozenset({'ground beef'}), confidence=0.46153846153846156, lift=4.697421981004071)]
89	frozenset({'mineral water', 'frozen smoothie', 'milk', 'spaghetti'})	0.003199573390214638	[OrderedStatistic(items_base=frozenset({'mineral water', 'frozen smoothie', 'spaghetti'}), items_add=frozenset({'milk'}), confidence=0.4705882352941177, lift=3.631566206729606), OrderedStatistic(items_base=frozenset({'mineral water', 'milk', 'spaghetti'}), items_add=frozenset({'frozen smoothie'}), confidence=0.2033898305084746, lift=3.211846565566459)]
90	frozenset({'green tea', 'frozen vegetables', 'tomatoes', 'nan'})	0.003332888948140248	[OrderedStatistic(items_base=frozenset({'green tea', 'frozen vegetables', 'nan'}), items_add=frozenset({'tomatoes'}), confidence=0.2314814814814815, lift=3.38468341635983)]
91	frozenset({'mineral water', 'frozen vegetables', 'ground beef', 'milk'})	0.0037328356219170776	[OrderedStatistic(items_base=frozenset({'mineral water', 'frozen vegetables', 'ground beef'}), items_add=frozenset({'milk'}), confidence=0.40579710144927533, lift=3.1315679608755294), OrderedStatistic(items_base=frozenset({'mineral water', 'frozen vegetables', 'milk'}), items_add=frozenset({'ground beef'}), confidence=0.3373493975903614, lift=3.4334570302921317), OrderedStatistic(items_base=frozenset({'mineral water', 'milk', 'ground beef'}), items_add=frozenset({'frozen vegetables'}), confidence=0.3373493975903614, lift=3.539101861993428)]
92	frozenset({'spaghetti', 'frozen vegetables', 'ground beef', 'milk'})	0.0030662578322890282	[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'ground beef', 'milk'}), items_add=frozenset({'spaghetti'}), confidence=0.5348837209302326, lift=3.0721001460165964), OrderedStatistic(items_base=frozenset({'frozen vegetables', 'spaghetti', 'milk'}), items_add=frozenset({'ground beef'}), confidence=0.3709677419354839, lift=3.7756160546242397), OrderedStatistic(items_base=frozenset({'milk', 'ground beef', 'spaghetti'}), items_add=frozenset({'frozen vegetables'}), confidence=0.3150684931506849, lift=3.305354919053549)]
93	frozenset({'mineral water', 'frozen vegetables', 'ground beef', 'spaghetti'})	0.004399413411545127	[OrderedStatistic(items_base=frozenset({'mineral water', 'frozen vegetables', 'spaghetti'}), items_add=frozenset({'ground beef'}), confidence=0.3666666666666667, lift=3.7318407960199007)]
